,PT,Deterministic,PT_10,PT_20,PT_50
39,327672.9404181352,379373.62932990276,331761.79849291494,321334.2376280921,338245.35447855195
40,354754.3746550225,331976.0734524269,334596.0312199347,351901.06916878064,361651.01573810645
41,371888.6536768669,344428.30524864484,355982.606072644,365995.8707383379,386333.2646520169
42,326711.04203937575,304286.0921420785,318573.29508591804,327427.579454871,331990.6412652904
43,276959.4041873458,304765.7176241965,285048.9003825891,283475.7581060007,276810.56833223224
44,207436.85666922352,409394.4994451086,233484.71629321767,244619.03157998022,227786.15586244498
45,225034.70738477015,269794.6714436489,220473.44495110813,217985.263902228,224348.4887628241
46,274971.2659862567,313668.57037639327,271384.08744305867,276605.8702325531,282240.9708741116
47,217602.38115653247,442328.5022655901,268075.91052140744,281391.4564297346,232640.99734926465
48,256425.79431450367,794954.9689478512,410385.67269144824,336689.2313906456,313015.37044846546
49,170996.48598193444,455516.0100848614,246209.36934782757,227745.2707771354,188995.3421011699
50,201269.88860138052,306750.43907213706,220655.43142872234,222144.3468546487,204010.03856897439
51,198482.82326285925,709516.7596480147,307254.7249275779,290889.8908968481,222845.64433733837
52,261324.84852779884,272928.69841675565,279443.2393803136,261234.60414557613,256897.7230893076
53,295350.23233578703,297918.1777903242,298157.2447702853,300136.91430524393,298905.2251933402
54,258598.45883235027,299105.1212566781,255073.49395935098,258550.97487312768,262272.6189072393
55,210241.67546835734,535184.4248642442,319973.71045337874,326582.5542409771,258480.52843928
56,206105.63327680825,256553.21506595588,211224.65510085094,205711.8744247049,206499.84475322478
57,229061.83009310803,824614.6505899115,370448.44811016845,333342.40580858453,283331.1364110876
58,323444.35067550885,1047632.7067455068,621819.897064782,516012.4734957795,352320.4737732613
59,217558.81245598453,375117.94250060193,317772.94367058063,259794.17273292772,280269.54326432454
60,292417.55180024053,403598.2555503838,346675.0026507069,319248.51928581775,293289.2703305676
61,253547.60826457737,245507.3645314582,242274.76113945173,241073.81839725343,248486.583917524
62,285509.4488215707,353455.91914716666,419080.0395637591,344074.1808836614,285105.36061894096
63,190061.57794966237,437106.37032883347,245507.40835843177,237448.90630636943,210010.3497899532
64,143341.59208372355,395208.97702435614,287497.8682420709,220300.2849331953,158180.62961636714
65,209021.57194686338,378198.9841548348,220913.5603987603,235180.02049086365,220338.64714195166
66,245247.66192301744,363771.1176753483,266230.5034086112,250796.34052327301,247151.16688269464
67,213423.23807423105,279666.1589788472,213728.14535273748,212653.25154515184,214595.1718370986
