,LR_PO,NN_PO,LR_DO,NN_DO
129,27108.114390461753,27573.999839495704,30860.933237478614,30850.282404678168
130,26619.07441180419,26664.022505499503,30381.495730102502,30169.422460112677
131,26637.603052031394,26512.817839202173,30377.058889504602,30083.839558085547
132,26601.50727283721,26173.635496090905,30273.23115269471,29827.294300096903
133,26807.38838181252,26070.09249371218,30312.59139124003,29749.697896943337
134,26878.769863776815,25934.51431311361,30241.337644950403,29576.461381479377
135,27274.154510261633,26456.94671959603,30577.544908075324,30012.11249305961
136,27862.815773838953,27208.85603337168,30918.967270426896,30650.62782922619
137,27980.836569831154,27340.68807500228,30963.380964508735,30757.179819606714
138,27733.691264017936,27057.101871426596,30773.665618025963,30535.984828965553
139,27513.838194700827,26809.24635526223,30588.675098025797,30350.468502479118
140,27148.709716857764,26351.083108378625,30474.149614585855,29948.45181976557
141,26758.911996536215,26492.215700605095,30556.031433501168,30143.51998775695
142,26333.50575055767,26282.36038642086,30386.461628640205,30188.82945728823
143,26232.17931050445,26248.733853941336,30384.608764617486,30282.80203842751
144,26086.360909237817,26057.256684134878,30324.069486718956,30223.30926407453
145,25573.652206804436,25666.239668736962,29994.786426147726,29723.664437459403
146,25388.66772521798,25470.64615875268,29875.808309335564,29569.333266339578
147,25197.049349429344,25337.1758490328,29743.712435475107,29357.550769194633
148,25296.01430522799,25458.489438471246,29811.021704131002,29425.248818794884
149,25136.43296563265,25318.672291447165,29685.538357778052,29195.419361039574
150,25253.34594495547,25374.31673829244,29740.35786441166,29233.701974984062
151,25298.54486506649,25297.89829030599,29725.689164026222,29183.150697857796
152,25358.93736306249,25052.93006488247,29631.072330593255,29022.379790761282
153,26146.293558805017,25138.525972723746,29827.896283494607,29033.2312846943
154,26084.016146744285,25083.607993497306,29501.37370697628,29018.94950727976
155,25512.43848454366,24593.4114263673,29043.086904858268,28723.194971088586
156,25074.39987708056,24166.167644646994,28774.56143406591,28435.38977430198
157,25196.923007234764,24347.730668125816,28899.293230158455,28598.92766835847
158,25611.950613523248,24853.88444022863,29199.367090126838,29009.257388779366
159,26211.58646177462,25560.58972446627,29604.26177371398,29567.235614314857
160,26752.178700754477,26196.99393830062,29948.324548584267,30068.239084015084
161,27305.230509688074,26858.29220940087,30294.171906952994,30596.221721685142
162,28110.96066936811,27809.429693721795,30813.96506215011,31374.06369988508
163,28774.15778933396,28388.40209025225,31240.502813959527,31806.683527782112
164,29202.351924473794,28925.1571495651,31639.11034763954,32172.054006667
165,29253.086211984857,29328.214761903848,32151.539889562104,32820.26099684062
166,30567.305151900626,30447.401764310507,33320.31759682154,33806.673152214295
167,31984.783056504,31626.8214789965,34374.2591907049,34300.503828319415
168,33886.66448314453,33055.72824278238,34772.9478946,34772.9478946
169,34772.9478946,33775.68099383977,34772.9478946,34772.9478946
170,34772.9478946,33886.822759257775,34772.9478946,34772.9478946
171,34772.9478946,34340.2711082044,34772.9478946,34772.9478946
172,33064.19735025951,33165.497662561094,34772.9478946,34497.54449640518
173,31350.374538401313,32244.863108980713,34486.9421160686,33832.81861266024
174,30883.11836945484,31988.99786927466,34135.27805247638,33659.72661269367
175,31105.805777269477,32205.31498287029,34147.10939515743,33794.78363173959
176,32476.790218760743,33219.58756624567,34772.9478946,34438.33030194631
177,32812.69811591358,33861.05847367737,34772.9478946,34772.9478946
178,32220.48162014025,33659.038930270595,34772.9478946,34772.9478946
179,32648.41680023053,33311.178806039126,34772.9478946,34772.9478946
180,32372.741150863654,34430.842959252346,34621.89941419578,34772.9478946
181,32708.199418441665,34153.49983677603,34772.9478946,34772.9478946
182,33731.572123527025,33840.099139684586,34772.9478946,34772.9478946
183,32288.754944769866,32860.937957945076,34717.55215854832,34119.58973109874
184,32638.076713489547,33305.07791797034,34772.9478946,34526.5206955251
185,31934.485625000296,32641.38065477649,34369.93818313925,33962.7671337062
186,30698.189627071875,30611.175156501748,33137.07577820756,32559.35623639891
187,30107.190103908102,29567.17662365783,32662.54831404232,32203.205486264833
188,30157.94436463375,29312.65934368954,32825.61579244601,31743.9769238545
189,29545.478280725427,29852.061086181497,32932.87834154771,31595.42985633029
190,29726.063081182976,31502.76087581266,33248.029191567104,33216.154147433954
191,29053.29461099096,30969.99860144323,32822.75439721013,33074.548236471164
192,26279.099643016623,28118.71585054719,30883.105595887373,30725.13860297315
193,26694.718084862114,28830.948605797705,31196.993023960968,31330.198340217583
194,25104.235214735952,26812.713333719385,30090.40563625681,29671.861350721396
195,22868.956593689843,23900.94657963494,28502.880659862585,27409.024338482504
196,20839.0342041195,22157.290520341485,27039.890069881872,26103.248958908927
197,17361.639018820395,18662.48054989828,24548.661206844383,23386.10585266802
198,18234.89954599685,20135.564580644525,25126.556907760736,24556.22501675814
199,23023.442441099356,24884.755598082236,28405.020733773155,28555.544917294534
200,23222.072808687186,24719.565036642234,28472.793566804758,28375.61087203774
201,23164.222018370383,24614.44089885781,28402.912862894464,28275.565969171454
202,24175.083130245413,25693.120828607323,29091.35333913476,29136.536001978096
203,24044.977610442955,25103.75957353283,28937.13829135554,28703.283534121438
204,26726.271118971763,27201.47709181617,30850.712525531777,29995.32895439504
205,25231.033541797937,24473.62973603814,29698.475891401726,27854.526425293083
206,24180.404366205374,23704.970327120016,28965.67165411605,27427.96266185537
207,26927.441336265343,25778.453833205465,30828.755924289864,28806.165562445425
208,26688.352667823416,25468.767747595022,30557.82716484031,28674.93689769262
209,27902.926169164588,25947.547067876578,31417.025387715974,28897.681438190833
210,27500.067824478323,25475.421150518425,31031.13150185894,28741.644182950815
211,26909.332598037774,25187.421331012963,30574.692454336662,28651.43399804719
212,26726.290627692986,26060.57409572933,30611.17608548847,29246.551719362236
213,24295.704624573846,25886.214435315025,29172.799463276115,29365.405351953268
214,25162.755804481378,27185.290427122323,29876.556608142433,30326.316241113014
