,LR_PO,NN_PO,LR_DO,NN_DO
105,-2523.4567785392237,-3622.8075919034513,-4429.2336555390775,-5338.388185993075
106,-2658.181299424896,-3443.5972134938906,-4690.4020021525275,-5449.696017201383
107,-1417.2840003554159,-1480.662819077132,-3640.461919019604,-2773.6042470468587
108,6054.321550030544,3917.591512932998,394.59696779512404,-200.5480811374373
109,4773.427423709011,2870.0742266249645,105.38688038747037,-523.8706319046872
110,764.4448648615534,-688.7689910267643,-1492.0536860522984,-2311.9063251482285
111,273.73630871557646,-678.6659409462158,-1752.1427089484955,-2490.5841770285906
112,387.7562625736086,-519.7324242961569,-1916.9433222634423,-2459.4565199929525
113,21.579902307096347,-527.897612437425,-2293.092414743956,-2666.9454714134813
114,2143.9811432911292,1416.9591051782875,-1337.3294695519999,-1600.3850665084208
115,2915.513186674052,2887.168965610719,-885.095749485029,-1035.6569995767284
116,5541.677740451398,5984.436529463483,449.1724327476135,482.73718760993347
117,8200.362629321302,7152.482604143602,1787.6742869281873,1582.3586521722943
118,8334.665697335202,7943.729317984999,1698.3367602984138,1437.4212700600378
119,7339.79279121406,7436.757266999406,653.1108692674271,264.03645800984964
120,4126.736117669822,4834.271451546119,-1023.4370435654998,-1078.4575829263642
121,1414.411210608029,2318.025914525708,-2120.710679665405,-2089.7958594357297
122,-1180.617541803676,-803.1728366585221,-3836.8281300654226,-3670.9745507998923
123,-1883.3315969369182,-1546.6062379155437,-4515.650597507554,-4296.830561428484
124,-3955.9693802486104,-3591.2454761242207,-6602.626919322671,-6365.764103073495
125,-6447.973636547004,-6118.104942744429,-9118.025848313051,-8830.863045846681
126,-4538.412982411796,-4240.173685427653,-7209.762059645738,-6962.045891490099
127,-2891.2865870577384,-2731.3358823405997,-5558.926127400668,-5426.988552878124
128,-1803.743361766635,-2407.9563276113618,-4767.398669367771,-4989.608020613798
129,1469.2390812221508,630.6452729610394,-2349.2599304036444,-2340.7392641632878
130,7067.313915361699,6986.407346710137,294.9555424247428,676.6874284064231
131,7827.9868700761,8052.600253168702,1096.9663626243296,1624.7611591786233
132,6830.140439233302,7600.309637376655,221.0374554898043,1023.7237901658602
133,6851.932401263382,8179.064999843998,542.5669842938721,1555.7752740279175
134,8719.32033549595,10418.980326689723,2666.698329383498,3863.47560363134
135,7726.475502633991,9197.449525832077,1780.3727865693488,2798.1511335976384
136,6194.177861592675,7371.305394433761,693.105167734376,1176.1161618956476
137,6018.815613723042,7171.082904415013,650.2357033033946,1021.3977641270367
138,4986.8535731838165,6204.714479848227,-215.60011734694686,-25.4554860986192
139,4177.6491552545585,5445.914466244036,-603.1365647690584,-412.5712883317171
140,5134.570559210326,6570.298454472781,-378.32055853343707,95.03477397627425
141,7164.729800271603,7644.783132947623,329.9148137346922,1072.4354160742826
142,8650.33534470529,8742.397000151548,1355.0147641567266,1710.7526725902806
143,-284.42565787402503,-297.66929262353676,-3606.369221164455,-3524.9238402124774
