,LR_PO,NN_PO,LR_DO,NN_DO
0,92064.02955976369,92685.57048136691,93152.3770170249,93152.3770170249
1,93152.3770170249,92467.93585447986,93152.3770170249,93003.26048611305
2,92984.70433054706,92564.82669214321,93152.3770170249,93115.4396556873
3,92145.87008322077,92514.26258050434,93152.3770170249,93152.3770170249
4,91328.93105110648,92216.13661513195,93127.76976161457,93051.60932620942
5,90766.0729727885,91913.40368542355,92746.39136217674,92989.06902914718
6,90667.81840668515,91851.15139720516,92675.53494249984,92982.7530511173
7,90821.60950379678,91805.50706878427,92774.81765209055,92955.65805838085
8,90801.96228517685,91527.79836164015,92742.67817338648,92893.94145714349
9,90721.77294109538,91490.14205678806,92557.7727082448,92852.20447301495
10,89468.88725096997,90484.02381061521,91643.4556563539,92434.61224985088
11,90763.41679067431,91836.90493335229,92543.56555147657,93006.82077136768
12,91423.70885367945,92267.75480152115,93001.50878738196,93152.3770170249
13,92287.70703674157,92588.84700589991,93152.3770170249,93152.3770170249
14,91749.24327632872,92354.07653735203,93152.3770170249,93152.3770170249
15,91853.98253092152,92394.11674006956,93152.3770170249,93152.3770170249
16,91892.88282818437,92318.41006669875,93152.3770170249,93084.3069539997
17,91874.53481335597,92335.22305798205,93152.3770170249,93018.40299027534
18,92235.38408660819,92344.8639393886,93152.3770170249,92986.44029108997
19,92132.88676891087,92327.87160953162,93152.3770170249,92917.97717641122
20,91713.04861672553,92104.8301088998,93152.3770170249,93152.3770170249
21,91535.90633730106,91927.54563747064,93152.3770170249,92960.61283667582
22,91553.57520653497,91680.97461032326,93152.3770170249,92890.28101047657
23,91174.22416465984,91413.16424155566,93023.07075775793,92807.25065440196
24,90660.64911253688,91249.39828474351,92679.67436748922,92771.6408156356
25,89903.96697275994,90997.3734527881,92170.7090898498,92673.85113549762
26,89498.18111145432,90714.64334425304,91898.11200115063,92483.95804659018
27,88862.211011227,90277.13894245976,91474.78598957427,92239.9182202392
28,88472.04427111644,89903.82763914652,91219.15050978874,92042.86934822585
29,88040.66465267408,89528.48705671879,90936.3695022327,91864.44405008221
30,87619.69280315506,89174.80174772328,90657.10583319988,91741.70593812382
31,87439.45838725535,88969.56471080692,90529.53343101157,91582.7122781627
32,87244.71716081214,88537.53224855106,90384.68759118569,91087.96506319607
33,87786.47887232211,88768.06197194725,90704.45685833211,91367.56394726298
34,88736.1559501236,89260.50154952021,91261.32201910256,91690.49634597456
35,89457.28777678321,90183.44937001805,91735.4371746585,92115.68162804095
36,89777.21661923865,90565.77962611073,91941.8175895112,92322.11823974123
37,90253.67999638447,90962.7772506625,92256.16013281095,92640.75835762873
38,90755.66284560936,91821.53279239047,92571.08501466418,92987.40893178945
39,90843.66862853445,91704.0333730829,92654.89427030605,93048.45329487154
40,90868.52032117998,91350.18776858595,92721.20537328163,92812.48553406085
41,91381.00147508453,91536.5186519092,93082.61991619055,92897.4547581485
42,91381.42068349503,91698.62834185774,93058.46737606253,93098.75661961403
43,91472.3758890634,91550.13914859839,93137.6443551157,92966.23125470131
44,91309.7063533171,91291.18205749981,93036.13121478047,92770.42705585393
45,91821.38580027186,91353.23075652169,93152.3770170249,92795.07377509103
46,92588.64008071342,91691.98703041014,93152.3770170249,92882.53925495908
47,93152.3770170249,91747.06552053236,93152.3770170249,92712.55443670736
48,93152.3770170249,91795.60751809935,93152.3770170249,92673.5556158274
49,92180.27575866165,91480.92454042185,93152.3770170249,92785.09903937051
50,92141.45796533168,91528.49445829904,93152.3770170249,92811.43470931037
51,92059.46717416559,91501.29421301177,93152.3770170249,92786.25161214739
52,92165.65321608746,91479.91865888493,93152.3770170249,92782.4034332064
53,91658.00679968984,91145.21132965812,93152.3770170249,92523.95489891618
54,91659.40903095203,91083.98098654608,93152.3770170249,92556.96911379689
55,91596.3126989631,91053.30833250498,93152.3770170249,92580.6791165455
56,91416.0895569551,91226.72856827539,93097.19242284204,92827.34205103274
57,91776.27764505244,91593.30449598318,93152.3770170249,92781.09071476826
58,91793.26792766542,91628.573956552,93152.3770170249,92844.27659742805
59,91867.29893182889,91567.87619634574,93152.3770170249,92797.560843864
60,92343.79379377293,91884.60469474102,93152.3770170249,92985.80463462576
61,92681.42368629918,91983.13547720406,93152.3770170249,93048.25386771618
62,92819.77338999478,92048.8056392669,93152.3770170249,93072.8740751436
63,92605.8328357572,92037.41467133389,93152.3770170249,93047.00012909791
64,91806.55904510949,92142.33531174439,93152.3770170249,93152.3770170249
65,90715.48150766804,91778.1786134611,92460.94359498781,93018.01522946802
66,89351.91619120179,90630.30857952072,91491.79255324925,92581.60360075114
67,88619.9493582767,89674.99055384958,90998.06147391727,91944.31973111808
68,88593.50544992466,89598.02415935916,90997.9940671057,91931.14899162075
69,89123.30333672703,89549.03453948972,91451.546955671,91968.13910787697
70,90209.04332367612,91071.88647516299,92289.0371311631,92606.96444987372
71,90402.23183519744,91350.19711083123,92459.82457142185,92710.53298798978
72,89952.27151931997,91133.08065835279,92169.36067259456,92537.25036675374
73,90654.3226983152,91219.37356148301,92641.98695992936,92613.78351252407
74,90724.49869175562,91507.35673388446,92696.95387449715,92820.52117145337
75,91401.24154886758,92194.61741936013,93152.3770170249,93152.3770170249
76,92063.05384327716,92710.18659430635,93152.3770170249,93152.3770170249
77,92260.12154993523,92798.156515094,93152.3770170249,93152.3770170249
78,92251.05829842099,92722.14239685671,93152.3770170249,93152.3770170249
79,92348.76813604329,92606.48631603942,93152.3770170249,93152.3770170249
80,92649.63131781392,92512.94405301136,93152.3770170249,93121.46313373184
81,92211.25680435292,92550.98701567152,93152.3770170249,93152.3770170249
82,91615.465395027,91987.16977621446,93152.3770170249,93055.20360211194
