,LR_PO,NN_PO,LR_DO,NN_DO
0,1986.3761138570278,2011.4772348310803,2051.526309,2051.526309
1,2051.526309,2033.7150980103943,2051.526309,2051.526309
2,2041.140767673923,2002.5441525781373,2051.526309,2043.0997871610216
3,1992.2955059207738,1988.7816762240127,2051.526309,2036.6949679636275
4,1944.0264289247446,1980.2262905705766,2040.3134027239144,2030.9676204890714
5,1909.8343998184203,1971.1959580246896,2016.081931201272,2028.284129188533
6,1903.9889728194064,1967.2350519462605,2011.7060608271856,2027.7269625896215
7,1913.830318721752,1967.4457936483382,2018.4603406881895,2024.5589175875557
8,1913.628037508108,1955.5742402361802,2017.3410671694417,2019.7721922979088
9,1914.9504873903923,1949.2967013444156,2011.502117731885,2022.929967626737
10,1842.3109243596439,1916.5967624674815,1956.7117226900796,2005.6876621637448
11,1919.181471900049,2002.243385991318,2012.4375229303434,2051.526309
12,1957.928121860647,2041.6157995489586,2040.3519942598843,2051.526309
13,2003.244715013493,2044.361002369764,2051.526309,2051.526309
14,1975.287812823655,2019.1581647958153,2051.526309,2051.526309
15,1983.1074041506147,2011.8293157910523,2051.526309,2051.526309
16,1986.144258703903,2009.576355707189,2051.526309,2051.526309
17,1985.3773229813833,1999.65106211916,2051.526309,2051.526309
18,2006.7674622161435,1999.5307456642226,2051.526309,2050.074844813264
19,2002.055853977377,2005.9362645515641,2051.526309,2051.526309
20,1971.0302004374541,1974.7556783171967,2051.526309,2030.8454986263341
21,1959.0454728844784,1972.1196545114765,2050.3728273942143,2027.424577556689
22,1959.7674093841408,1961.9815494233064,2051.4008534593145,2017.9402397157266
23,1936.4238415721054,1956.4555436327075,2035.1875742592322,2012.1035149333877
24,1904.6910573872794,1947.5094911488352,2012.8774796599143,2012.3744922915114
25,1858.1732675040207,1923.0066098011378,1980.053296244127,1997.7729016729159
26,1833.363882300785,1904.4064828156013,1962.5776965895757,1984.810651552497
27,1794.6115819425545,1873.317964825012,1935.1512859095583,1965.377476170536
28,1770.867130504898,1854.2760341550636,1918.293845799219,1952.520547800107
29,1744.4688655737875,1835.7210197024974,1899.418526319357,1939.2213851668366
30,1718.716075478119,1821.217159056324,1880.8243821077842,1930.773965166026
31,1707.6525969134902,1819.6777882938022,1872.3594519175185,1931.8446853013734
32,1696.1596881287842,1813.9363346544342,1863.192240755184,1930.1050426912107
33,1730.5356497644614,1827.8873174894713,1885.809181028881,1943.4676740957498
34,1791.5837544282645,1867.6936285183924,1925.8425202001151,1976.613933953599
35,1835.045585673191,1931.2806728831376,1956.6002708629787,2033.1634760530098
36,1854.6584784483032,1955.5607336707162,1969.9439794786547,2046.7851688409194
37,1884.067438404625,1985.073984255,1990.3786085239146,2051.526309
38,1916.339125486656,2007.2753974594787,2012.039400294475,2051.526309
39,1920.2619820291557,2010.7429437521023,2016.0798085251558,2051.526309
40,1917.1815484064255,1977.116033726117,2016.1752345252814,2051.526309
41,1946.3875321804103,1983.7100855333977,2037.4712602687246,2048.015120845247
42,1947.0798796325769,1982.76993641821,2036.6188216792211,2049.1889309934845
43,1950.9505681990727,1975.1968701269989,2040.2145953611682,2039.3966530913024
44,1940.0207426896761,1957.3465992529564,2032.7597445665501,2027.9035016341045
45,1968.914428684347,1961.2082607804537,2051.526309,2020.0424954608604
46,2012.9574274986105,1970.7038370961188,2051.526309,2023.460967143564
47,2051.5157529070507,1977.9541433075865,2051.526309,2025.332761449962
48,2051.526309,1983.0367515181845,2051.526309,2026.637463191554
49,1990.1958242037063,1978.3295774818382,2051.526309,2032.838264697823
50,1988.2865790164751,1981.302139877037,2051.526309,2036.069431931062
51,1983.5901656638555,1980.9074127675533,2051.526309,2036.5088324968285
52,1989.635309290957,1978.5275151411522,2051.526309,2033.2053894637913
53,1959.9896633936949,1964.918305822812,2048.861560844583,2025.3088416851176
54,1959.6563579194392,1953.2475983628672,2048.139825942497,2014.920853804852
55,1955.6551361028212,1942.1832661953877,2044.8509751274432,2008.014152956907
56,1945.879630930109,1935.5866007015018,2036.3500302620264,2006.4909024464548
57,1973.7531784238547,1988.588508920454,2050.2637824627627,2050.779055362131
58,1973.8207036971673,1967.5859507040539,2051.526309,2031.4578982398048
59,1977.2272664869995,1970.3982472754917,2051.526309,2035.2534149888654
